KostenstellenID,KontoID,Periode,Ist_Summe,Betrag_Plan,Abweichung,Abweichung_Prozent
K200,A30,2026-11,3759.7,10742.01,-6982.31,-65.0
K200,A30,2026-12,4585.24,11463.11,-6877.87,-60.0
K800,A10,2026-04,35368.62,41526.72,-6158.1,-14.8
K500,A50,2026-10,10378.99,4942.38,5436.61,110.0
K100,A10,2026-11,29147.0,33821.89,-4674.89,-13.8
K200,A10,2026-05,33422.59,38027.25,-4604.66,-12.1
K800,A10,2026-06,33467.16,38050.05,-4582.89,-12.0
K500,A10,2026-03,30666.84,34904.07,-4237.23,-12.1
K800,A10,2026-03,36265.41,40465.97,-4200.56,-10.4
K600,A10,2026-10,22636.82,26619.3,-3982.48,-15.0
