BuchungsID,KostenstellenID,KontoID,Datum,Betrag_Ist,Buchungstext
B00001,K100,A10,2026-01-29,3367.61,Lohnnebenkosten
B00002,K100,A10,2026-01-19,21601.53,Gehaltslauf
B00003,K100,A10,2026-01-23,9449.36,Gehaltslauf
B00004,K100,A10,2026-02-03,25747.5,Gehaltslauf
B00005,K100,A10,2026-02-28,4783.89,Gehaltslauf
B00006,K100,A10,2026-03-06,24810.89,Lohnnebenkosten
B00007,K100,A10,2026-03-12,8754.04,Gehaltslauf
B00008,K100,A10,2026-04-20,36777.58,Freelancer-Honorar
B00009,K100,A10,2026-05-15,35205.77,Lohnnebenkosten
B00010,K100,A10,2026-06-08,9645.75,Freelancer-Honorar
B00011,K100,A10,2026-06-11,162.94,Gehaltslauf
B00012,K100,A10,2026-06-08,27447.26,Gehaltslauf
B00013,K100,A10,2026-07-07,34533.82,Freelancer-Honorar
B00014,K100,A10,2026-08-13,18460.67,Freelancer-Honorar
B00015,K100,A10,2026-08-15,15520.99,Gehaltslauf
B00016,K100,A10,2026-09-18,4858.07,Lohnnebenkosten
B00017,K100,A10,2026-09-24,8697.84,Freelancer-Honorar
B00018,K100,A10,2026-09-14,17837.35,Freelancer-Honorar
B00019,K100,A10,2026-10-17,31587.4,Lohnnebenkosten
B00020,K100,A10,2026-11-05,29147.0,Freelancer-Honorar
B00021,K100,A10,2026-12-03,22804.76,Lohnnebenkosten
B00022,K100,A10,2026-12-13,3620.21,Freelancer-Honorar
B00023,K100,A10,2026-12-15,8325.91,Freelancer-Honorar
B00024,K100,A30,2026-01-22,3108.15,Messeauftritt
B00025,K100,A30,2026-02-25,942.12,Messeauftritt
B00026,K100,A30,2026-02-11,2379.44,Kampagnenkosten Social Media
B00027,K100,A30,2026-03-31,2809.61,Messeauftritt
B00028,K100,A30,2026-04-25,1327.34,Kampagnenkosten Social Media
B00029,K100,A30,2026-04-17,1649.93,Kampagnenkosten Social Media
B00030,K100,A30,2026-04-28,87.44,Messeauftritt
B00031,K100,A30,2026-05-07,2508.93,Kampagnenkosten Social Media
B00032,K100,A30,2026-05-12,501.5,Kampagnenkosten Social Media
B00033,K100,A30,2026-05-18,180.43,Messeauftritt
B00034,K100,A30,2026-06-01,1574.5,Kampagnenkosten Social Media
B00035,K100,A30,2026-06-30,1784.67,Druckkosten Flyer
B00036,K100,A30,2026-07-08,2902.87,Kampagnenkosten Social Media
B00037,K100,A30,2026-07-08,638.23,Messeauftritt
B00038,K100,A30,2026-08-27,240.34,Kampagnenkosten Social Media
B00039,K100,A30,2026-08-25,2695.66,Messeauftritt
B00040,K100,A30,2026-09-18,2385.3,Kampagnenkosten Social Media
B00041,K100,A30,2026-09-09,535.18,Messeauftritt
B00042,K100,A30,2026-10-30,3197.3,Messeauftritt
B00043,K100,A30,2026-11-13,48.59,Messeauftritt
B00044,K100,A30,2026-11-21,3333.14,Druckkosten Flyer
B00045,K100,A30,2026-12-08,3139.08,Kampagnenkosten Social Media
B00046,K100,A40,2026-01-08,680.43,Hotel Uebernachtung
B00047,K100,A40,2026-01-08,233.99,Reisekosten Kundenbesuch
B00048,K100,A40,2026-01-03,459.85,Hotel Uebernachtung
B00049,K100,A40,2026-02-28,1544.22,Bahnticket
B00050,K100,A40,2026-03-07,80.85,Hotel Uebernachtung
B00051,K100,A40,2026-03-05,1381.62,Hotel Uebernachtung
B00052,K100,A40,2026-04-08,604.41,Bahnticket
B00053,K100,A40,2026-04-26,1136.16,Bahnticket
B00054,K100,A40,2026-05-12,1013.38,Bahnticket
B00055,K100,A40,2026-05-14,409.94,Bahnticket
B00056,K100,A40,2026-06-02,1503.62,Bahnticket
B00057,K100,A40,2026-07-08,1804.62,Reisekosten Kundenbesuch
B00058,K100,A40,2026-08-06,1292.25,Bahnticket
B00059,K100,A40,2026-08-15,274.18,Reisekosten Kundenbesuch
B00060,K100,A40,2026-09-04,495.72,Reisekosten Kundenbesuch
