KostenstellenID,KontoID,Periode,Betrag_Plan
K100,A10,2026-01,34836.18
K100,A10,2026-02,33662.89
K100,A10,2026-03,34841.79
K100,A10,2026-04,35864.64
K100,A10,2026-05,34104.81
K100,A10,2026-06,34453.26
K100,A10,2026-07,36340.25
K100,A10,2026-08,36591.77
K100,A10,2026-09,34435.38
K100,A10,2026-10,34909.76
K100,A10,2026-11,33821.89
K100,A10,2026-12,34065.47
K100,A30,2026-01,3144.93
K100,A30,2026-02,3100.79
K100,A30,2026-03,3158.5
K100,A30,2026-04,3346.31
K100,A30,2026-05,3160.09
K100,A30,2026-06,3360.06
K100,A30,2026-07,3347.24
K100,A30,2026-08,3369.24
K100,A30,2026-09,3310.83
K100,A30,2026-10,3345.21
K100,A30,2026-11,3307.42
K100,A30,2026-12,3205.13
K100,A40,2026-01,1606.85
K100,A40,2026-02,1702.12
K100,A40,2026-03,1607.99
K100,A40,2026-04,1753.26
K100,A40,2026-05,1628.08
K100,A40,2026-06,1741.22
K100,A40,2026-07,1718.44
K100,A40,2026-08,1628.05
K100,A40,2026-09,1743.01
K100,A40,2026-10,1758.89
K100,A40,2026-11,1677.68
K100,A40,2026-12,1596.45
K100,A50,2026-01,2628.52
K100,A50,2026-02,2621.83
K100,A50,2026-03,2498.64
K100,A50,2026-04,2396.39
K100,A50,2026-05,2615.04
K100,A50,2026-06,2525.4
K100,A50,2026-07,2439.0
K100,A50,2026-08,2381.56
K100,A50,2026-09,2412.4
K100,A50,2026-10,2471.77
K100,A50,2026-11,2546.49
K100,A50,2026-12,2445.46
K100,A60,2026-01,1941.94
K100,A60,2026-02,1892.51
K100,A60,2026-03,1999.99
K100,A60,2026-04,1876.2
K100,A60,2026-05,2038.96
K100,A60,2026-06,1882.55
K100,A60,2026-07,1915.74
K100,A60,2026-08,2048.73
K100,A60,2026-09,2066.9
K100,A60,2026-10,2028.66
K100,A60,2026-11,2029.64
K100,A60,2026-12,1918.18
K200,A10,2026-01,35265.91
K200,A10,2026-02,37964.33
K200,A10,2026-03,34875.7
K200,A10,2026-04,34596.1
K200,A10,2026-05,38027.25
K200,A10,2026-06,36343.14
K200,A10,2026-07,34711.14
K200,A10,2026-08,37067.95
K200,A10,2026-09,36986.18
K200,A10,2026-10,37868.12
K200,A10,2026-11,35548.91
K200,A10,2026-12,35219.69
K200,A30,2026-01,10713.84
K200,A30,2026-02,10791.14
K200,A30,2026-03,10725.91
K200,A30,2026-04,11563.38
K200,A30,2026-05,11455.51
K200,A30,2026-06,11201.74
K200,A30,2026-07,10719.51
K200,A30,2026-08,10981.6
K200,A30,2026-09,11462.0
